intent,response,intent_special_chars,response_special_chars
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
heatwaves Symptom Check,please check your symptoms,"['_', '_']",[]
Headache,let me know which type of services do you want?,[],[]
Stress Remedies,Please let me know which type of remedies do you want?,['_'],[]
Constipation,which services do you want for Constipation?,[],[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Fever Naturopathy Remedies,"sleep with an cotton cloth which covers your body on an plain and even bed with a bedsheet on it and now cover your body with wet bead sheet and sleep for few minutes,this even helpful for your high temperature,even though you are repeating with your symptoms please consult your physician",['_'],[]
acknowledge,"Thank you for your query,hope you get well soon!",[],[]
heatwaves Symptom Check,please check your symptoms,"['_', '_']",[]
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Cough Remedies,Please let me know which type of remedies do you want?,['_'],[]
BP medication,"CARDIGLOW-H40(Telmisartan and Hydrochlorothiazide Tablets IP) dose-40mg, Cause-  used to treat high blood pressure (hypertension).please check the medicine while using and consult your doctor",['_'],"['(', ')', '(', ')']"
Hairfall,Which type of services do you want for Hairfall?,[],[]
Cough Remedies,Please let me know which type of remedies do you want?,['_'],[]
Diarrhea Medication,"LOPAMIDE (Lopamide hydrochloride tablets I.P.)  Dose-2mg cause-Lopamide Tablet is an anti-diarrhoeal medication. It works by slowing down the contraction of the intestines thereby decreasing the speed at which the contents pass through it. This allows more time for reabsorption of fluids and nutrients, making the stools more solid and less frequent.",['_'],"['(', ')']"
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Cold,please check which services do you want for cold?,[],[]
Fever,which type of service do you need for fever?,[],[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Fever,which type of service do you need for fever?,[],[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Confirm Food Poisoning,"Food poisoning occurs when contaminated food or water causes infection in the digestive system,If symptoms are severe seek medical attention","['_', '_']",[]
heatwaves Home Remedies,"1.glass of  buttermilk,A pinch of salt,1 teaspoon of sugar A few drops of lemon juice mix well which helps for  Preventing dehydration Soothes the stomach and  Balances electrolytes in body                                                                            
                                                                         2    

Take fresh ash gourd, cut it into pieces, and grind well to extract the juice. Filter it and take 15 to 20 ml of the juice, adding a little sugar for taste. Consume this 3 to 4 times a day to keep the body hydrated and protect against heat waves.",['_'],[]
Fever Diet,"the foods recomended for fever includes fresh fruits,cooked vegetables,soups(mixed vegetables),coconut water because it is more important to keep your body more hyderated as well some probiotics for good gut health",['_'],"['(', ')']"
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
BP,Let me know which type of services do you want for BP?,[],[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Hairfall,Which type of services do you want for Hairfall?,[],[]
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Confirm Dry Cough,"Dry cough, also known as a non-productive cough, is a common respiratory symptom that can be caused by various factors such as viral infections, allergies, environmental irritants, asthma, gastroesophageal diseases, and respiratory tract infections so please consult your doctor and poceed based on your symptoms","['_', '_']",[]
Other illeness Piles,take some Bitter guard powderand it  with butter milk,"['_', '_']",[]
Cough Home Remedies,"Take a small piece of ginger and mix it with Sindhav Lavana (rock salt). Chew the mixture slowly in your mouth. This remedy is highly effective in relieving dry cough.                                                                                                                      
                                                                                   or                                                                                                           
Take one spoon of ajwain (carom seeds), a small amount of salt, and one clove. Grind them into a fine powder. Chew and swallow this mixture to help relieve chronic cough effectively.",['_'],"['(', ')', '(', ')']"
Stress Home Remedie,take 3 to 4 Tulasi leaves chew and swallow reduces stress and pressure and improves the energy,['_'],[]
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
Cold Medication,"Cetirizine Tablets(cetirizine Hydrochloride I.T), dose-10mg (children 5mg),CETIRIZINE (se TI ra zeen) prevents and treats allergy symptoms, such as red, itchy eyes, sneezing, a runny or stuffy nose, or hives. It works by blocking histamine, a substance released by the body during an allergic reaction.",['_'],"['(', ')', '(', ')', '(', ')']"
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
acknowledge,"Thank you for visiting our medibot! I’m here to assist you with  remedies, and symptom checks,Diet,physical activities, Let me know how I can help!",[],"['’', '""']"
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
Other illeness Piles,lemon with milk immediate consumption  can helps for piles,"['_', '_']",[]
Fever Symptom Check,please choose the fever symptoms most relevant to you,"['_', '_']",[]
Hairfall Remedies,Please choose which type of remedy you prefer?,['_'],[]
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Headache,let me know which type of services do you want?,[],[]
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Constipation,which services do you want for Constipation?,[],[]
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Stress,let me know which type of services do you want?,[],[]
