intent,response,intent_special_chars,response_special_chars
acknowledge,"Thank you for visiting our medibot! I’m here to assist you with  remedies, and symptom checks,Diet,physical activities, Let me know how I can help!",[],"['’', '""']"
acknowledge,"Thank you for your query,hope you get well soon!",[],[]
BP,Let me know which type of services do you want for BP?,[],[]
BP Ayurvedic Remedies,"Add garlic to your diet to help reduce high blood pressure. Fenugreek contains calcium, fiber, and helps reduce bad cholesterol. Dark chocolate also helps reduce hypertension. Eat bananas for a good potassium intake, which helps lower blood pressure",['_'],[]
BP Diet,BP Diet Information,['_'],[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
BP medication,"CARDIGLOW-H40(Telmisartan and Hydrochlorothiazide Tablets IP) dose-40mg, Cause-  used to treat high blood pressure (hypertension).please check the medicine while using and consult your doctor",['_'],"['(', ')', '(', ')']"
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
BP remedies,Please let me know which type of BP remedies do you want?,['_'],[]
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
BP yoga,Practice Sasankasana and Sheetkari Pranayama (Cooling Pranayama) to help manage blood pressure.,['_'],"['(', ')']"
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Cold,please check which services do you want for cold?,[],[]
Cold Ayurvedic Remedies,"Take fresh Tulasi leaves, grind them into a paste, and filter the extract using a cloth. Add one spoon of pepper powder to the extract and drink it with water in the morning and evening. Due to its antiviral properties, this remedy helps relieve cough and a sore throat",['_'],[]
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
Cold Medication,"Cetirizine Tablets(cetirizine Hydrochloride I.T), dose-10mg (children 5mg),CETIRIZINE (se TI ra zeen) prevents and treats allergy symptoms, such as red, itchy eyes, sneezing, a runny or stuffy nose, or hives. It works by blocking histamine, a substance released by the body during an allergic reaction.",['_'],"['(', ')', '(', ')', '(', ')']"
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Cold Physical Activity,"Go jogging with natural and deep breathing, allowing yourself to inhale fresh air properly for about 20 minutes. After that, practice Surya Namaskar to help your body absorb more oxygen for an extended period. Finally, perform Pranayama only if needed to further enhance your breathing and overall well-being.","['_', '_']",[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Confirm Cluster Headache,"Cluster headaches are extremely painful headaches that occur in cycles, usually affecting one side of the head, often around the eye,To manage symptoms, maintain a consistent sleep schedule, avoid known triggers, and practice relaxation techniques. If episodes are frequent or severe, consult a doctor for medical treatment.","['_', '_']",[]
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Confirm Common Fever,"Fever is usually a sign that your body is fighting an infection, If the fever persists for more than 3 days or is very high, consult a doctor. Let me know if you need home remedies or care tips!","['_', '_']","['""']"
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Confirm Dry Cough,"Dry cough, also known as a non-productive cough, is a common respiratory symptom that can be caused by various factors such as viral infections, allergies, environmental irritants, asthma, gastroesophageal diseases, and respiratory tract infections so please consult your doctor and poceed based on your symptoms","['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Confirm Food Poisoning,"Food poisoning occurs when contaminated food or water causes infection in the digestive system,If symptoms are severe seek medical attention","['_', '_']",[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Confirm Loose Motions,This seems like loose motions symptoms i suggest you to please consult your doctor or if you want any remedies please check with me,"['_', '_']",[]
Confirm Low BP,"Your symptoms suggest low blood pressure. While I can provide basic information, a medical professional is best suited to assess your condition. Please consider seeking medical advice from a doctor for appropriate care.","['_', '_']",[]
Confirm Malaria,It seem like malaria symptoms I would suggest you to please consult your doctor,['_'],[]
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Confirm Sinus Headache,"A sinus headache occurs due to inflammation or congestion in the sinuses, often caused by infections, allergies, or cold weather,To relieve it, try steam inhalation, stay hydrated, use a warm compress, and avoid allergens. If symptoms persist or worsen, consult a doctor","['_', '_']",[]
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
Confirm Tension Headache,"Tension headaches are the most common type of headache,To relieve it, try relaxation techniques, stay hydrated, get enough rest, and avoid stress triggers. If headaches persist frequently, consult a doctor","['_', '_']",[]
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Confirm Wet Cough,"Wet cough, also known as a productive cough, is characterized by mucus or phlegm production. It can be caused by several conditions so please consult physician for better treatment","['_', '_']",[]
Constipation,which services do you want for Constipation?,[],[]
Constipation Ayurvedic Remedies,Eat Neem fruit and spit out the seeds. This helps with good bowel movements,['_'],[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Constipation Yoga,"It is good to practice Malasana, as it provides multiple health benefits, including improved digestion, flexibility, and better blood circulation",['_'],[]
Cough,Which type of services do you want for Cough?,[],[]
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Cough Diet,This is an pasting technique which is for 2 to 3 by taking lemon and honey water with some addition coconut water as a diet with steam inhaling hot water bath after 2 to 3 days based on your sickness drink plenty of water at morning a nd then honey water up to your lunch  and then evening take good fruit meat with some boiled vegetables,['_'],[]
Cough Home Remedies,"Take a small piece of ginger and mix it with Sindhav Lavana (rock salt). Chew the mixture slowly in your mouth. This remedy is highly effective in relieving dry cough.                                                                                                                      
                                                                                   or                                                                                                           
Take one spoon of ajwain (carom seeds), a small amount of salt, and one clove. Grind them into a fine powder. Chew and swallow this mixture to help relieve chronic cough effectively.",['_'],"['(', ')', '(', ')']"
Cough Medication,"MONADRYL cough syrup (Diphenhydramine Hydrochloride, Ammonium Chloride , Sodium Chloride, Sodium Citrate & Menthol Syrup) dose-200mg 100ml cause-this Syrup helps to loosen thick mucus and reduces its stickiness, making it easier to cough out. This makes it easier for air to move in and out. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily.",['_'],"['(', '&', ')']"
Cough Medication,Chlorpheniramine Maleate-2mg +dextromethorphan Hydrobromide-10mg,['_'],['+']
Cough Naturopathy Remedies,"Chew a neem stick and spit it out. The bitterness helps reduce toxins and keeps your mouth fresh. Additionally, do facial steam inhalation by adding turmeric to the water for better respiratory health and a refreshing effect.",['_'],[]
Cough Remedies,Please let me know which type of remedies do you want?,['_'],[]
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Default Fallback Intent,I didn't get that. Can you say it again?,[],[]
Default Fallback Intent,I missed what you said. What was that?,[],[]
Default Fallback Intent,"Sorry, could you say that again?",[],[]
Default Fallback Intent,"Sorry, can you say that again?",[],[]
Default Fallback Intent,Can you say that again?,[],[]
Default Fallback Intent,"Sorry, I didn't get that. Can you rephrase?",[],[]
Default Fallback Intent,"Sorry, what was that?",[],[]
Default Fallback Intent,One more time?,[],[]
Default Fallback Intent,What was that?,[],[]
Default Fallback Intent,Say that one more time?,[],[]
Default Fallback Intent,I didn't get that. Can you repeat?,[],[]
Default Fallback Intent,"I missed that, say that again?",[],[]
Default Welcome Intent,Hi! How are you doing?,[],[]
Default Welcome Intent,Hello! How can I help you?,[],[]
Default Welcome Intent,Good day! What can I do for you today?,[],[]
Default Welcome Intent,Greetings! How can I assist?,[],[]
